,budget,company,country,director,genre,gross,film,rating,released,runtime,movie score,star,votes,writer,year,Oscar Award Count,Oscar Nominations,star avg score,director avg score,writer avg score,genre avg score,rating avg score,country avg score,company avg score,Golden Globes Awards,Golden Globes Nominations,Total Nominations,Total Awards
62,11000000,Interscope Communications,USA,Leonard Nimoy,Comedy,167780960,3 Men and a Baby,PG,5/2/86,102,5.9,Tom Selleck,39544,Coline Serreau,1987,0.0,0.0,5.928571428571429,5.82,6.033333333333334,6.1657692307692304,6.143007360672984,6.216789819376035,5.470000000000001,0.0,1.0,1.0,0.0
63,0,Touchstone Pictures,USA,Emile Ardolino,Comedy,71609321,3 Men and a Little Lady,PG,5/2/86,104,5.3,Tom Selleck,18817,Coline Serreau,1990,0.0,0.0,5.928571428571429,6.140000000000001,6.033333333333334,6.1657692307692304,6.143007360672984,6.216789819376035,6.33435114503817,0.0,1.0,1.0,0.0
64,6500000,Touchstone Pictures,USA,Jon Turteltaub,Action,29000301,3 Ninjas,PG,5/9/86,84,5.2,Victor Wong,17402,Kenny Kim,1992,0.0,0.0,4.566666666666667,6.390000000000001,5.2,6.1060856498873015,6.143007360672984,6.216789819376035,6.33435114503817,0.0,1.0,1.0,0.0
65,20000000,Ben-Ami/Leeds Productions,USA,Charles T. Kanganis,Family,11784000,3 Ninjas Kick Back,PG,5/9/86,93,4.4,Victor Wong,7189,Sang-ok Shin,1994,0.0,0.0,4.566666666666667,4.85,4.4,5.792857142857143,6.143007360672984,6.216789819376035,4.4,0.0,1.0,1.0,0.0
66,0,Sheen Productions,USA,Sang-ok Shin,Comedy,407618,3 Ninjas Knuckle Up,PG-13,5/9/86,85,4.1,Victor Wong,4527,Alex S. Kim,1995,0.0,0.0,4.566666666666667,4.1,4.1,6.1657692307692304,6.254035087719299,6.216789819376035,4.1,0.0,1.0,1.0,0.0
67,0,Leeds/Ben-Ami Productions,USA,Sean McNamara,Action,375805,3 Ninjas: High Noon at Mega Mountain,PG,5/9/86,93,2.8,Loni Anderson,9353,Sean McNamara,1998,0.0,0.0,2.8,4.675,4.949999999999999,6.1060856498873015,6.143007360672984,6.216789819376035,2.8,0.0,1.0,1.0,0.0
68,1000000,Kim Ki-Duk Film,South Korea,Ki-duk Kim,Crime,238507,3-Iron,R,5/9/86,88,8.1,Seung-yeon Lee,41640,Ki-duk Kim,2004,0.0,0.0,8.1,7.766666666666666,7.766666666666666,6.756321839080459,6.453213443396231,7.344999999999999,8.1,0.0,1.0,1.0,0.0
69,55000000,Lionsgate,USA,James Mangold,Adventure,53606916,3:10 to Yuma,R,5/16/86,122,7.7,Russell Crowe,252471,Halsted Welles,2007,0.0,2.0,7.011111111111111,7.066666666666666,7.7,6.354846938775506,6.453213443396231,6.216789819376035,6.052272727272729,0.0,1.0,3.0,0.0
70,32000000,Columbia Pictures,USA,David Slade,Horror,39568996,30 Days of Night,R,5/16/86,113,6.6,Josh Hartnett,146606,Steve Niles,2007,0.0,0.0,6.716666666666666,6.2,6.6,5.68700361010831,6.453213443396231,6.216789819376035,6.315740740740743,0.0,1.0,1.0,0.0
71,28000000,Columbia Pictures,Germany,Ruben Fleischer,Action,37053924,30 minutos o menos,R,5/23/86,83,6.1,Jesse Eisenberg,82495,Michael Diliberti,2011,0.0,0.0,6.766666666666667,6.833333333333333,6.1,6.1060856498873015,6.453213443396231,6.329850746268655,6.315740740740743,0.0,1.0,1.0,0.0
72,110000000,Warner Bros.,USA,Noam Murro,Action,106580051,300: Rise of an Empire,R,5/23/86,102,6.2,Sullivan Stapleton,242932,Zack Snyder,2014,0.0,0.0,6.2,6.2,6.666666666666667,6.1060856498873015,6.453213443396231,6.216789819376035,6.3843537414965965,0.0,1.0,1.0,0.0
73,62000000,Franchise Pictures,USA,Demian Lichtenstein,Action,15738632,3000 Miles to Graceland,R,5/30/86,125,5.9,Kurt Russell,39439,Richard Recco,2001,0.0,0.0,6.622222222222222,5.9,5.9,6.1060856498873015,6.453213443396231,6.216789819376035,5.772727272727273,0.0,1.0,1.0,0.0
74,0,CB Films,France,Catherine Breillat,Romance,410109,36 fillette,Not specified,5/30/86,88,6.0,Delphine Zentout,938,Catherine Breillat,1988,0.0,0.0,6.0,5.933333333333334,5.933333333333334,6.126666666666666,7.14761904761905,6.8533568904593585,6.0,0.0,1.0,1.0,0.0
75,0,Mobra Films,Romania,Cristian Mungiu,Drama,1185783,"4 Months, 3 Weeks and 2 Days",NOT RATED,6/6/86,113,7.9,Anamaria Marinca,48360,Cristian Mungiu,2007,0.0,0.0,7.9,7.9,7.9,6.715720221606655,6.959195402298849,6.9,7.9,0.0,1.0,1.0,0.0
76,17000000,Miramax,USA,Michael Lehmann,Comedy,37950822,40 Days and 40 Nights,R,6/6/86,96,5.6,Josh Hartnett,64465,Rob Perez,2002,0.0,0.0,6.716666666666666,5.874999999999999,5.6,6.1657692307692304,6.453213443396231,6.216789819376035,6.620779220779219,0.0,1.0,1.0,0.0
77,0,BFI Film Fund,UK,Andrew Haigh,Drama,4250507,45 Years,R,6/6/86,91,7.1,Charlotte Rampling,23800,Andrew Haigh,2015,0.0,1.0,7.033333333333332,7.4,7.4,6.715720221606655,6.453213443396231,6.660601719197714,6.8,0.0,1.0,2.0,0.0
78,175000000,H2F Entertainment,USA,Carl Rinsch,Action,38362475,47 Ronin,PG-13,6/6/86,119,6.3,Keanu Reeves,125778,Chris Morgan,2013,0.0,0.0,6.537499999999999,6.3,6.75,6.1060856498873015,6.254035087719299,6.216789819376035,6.3,0.0,1.0,1.0,0.0
79,0,Demarest Films,USA,Victor Levin,Comedy,116400,5 to 7,R,6/11/86,95,7.1,Anton Yelchin,13188,Victor Levin,2014,0.0,0.0,6.875,7.1,6.35,6.1657692307692304,6.453213443396231,6.216789819376035,5.833333333333333,0.0,1.0,1.0,0.0
80,75000000,Columbia Pictures Corporation,USA,Peter Segal,Comedy,120908074,50 First Dates,PG-13,6/13/86,99,6.8,Adam Sandler,283647,George Wing,2004,0.0,0.0,6.166666666666667,6.3,6.8,6.1657692307692304,6.254035087719299,6.216789819376035,6.265060240963854,0.0,1.0,1.0,0.0
81,8000000,Summit Entertainment,USA,Jonathan Levine,Comedy,35014192,50/50,R,6/13/86,100,7.7,Joseph Gordon-Levitt,285675,Will Reiser,2011,0.0,0.0,6.953846153846153,7.0,7.7,6.1657692307692304,6.453213443396231,6.216789819376035,6.344736842105261,0.0,1.0,1.0,0.0
82,7500000,Fox Searchlight Pictures,USA,Marc Webb,Comedy,32391374,500 Days of Summer,PG-13,6/13/86,95,7.7,Zooey Deschanel,407875,Scott Neustadter,2009,0.0,0.0,7.300000000000001,7.133333333333333,6.9,6.1657692307692304,6.254035087719299,6.216789819376035,6.817543859649125,0.0,1.0,1.0,0.0
83,0,Cannon Group,USA,John Frankenheimer,Crime,5186646,52 Pick-Up,R,6/13/86,110,6.4,Roy Scheider,3866,Elmore Leonard,1986,0.0,0.0,5.666666666666667,5.9,6.18,6.756321839080459,6.453213443396231,6.216789819376035,5.581818181818182,0.0,1.0,1.0,0.0
84,3000000,Orion Pictures,USA,Tom Schulman,Comedy,3559990,8 Heads in a Duffel Bag,R,6/20/86,95,5.3,Joe Pesci,8398,Tom Schulman,1997,0.0,0.0,5.928571428571429,5.3,5.720000000000001,6.1657692307692304,6.453213443396231,6.216789819376035,6.2475,0.0,1.0,1.0,0.0
85,41000000,Imagine Entertainment,USA,Curtis Hanson,Drama,116724075,8 Mile,R,6/20/86,110,7.0,Eminem,204990,Scott Silver,2002,1.0,1.0,7.0,6.7333333333333325,7.2,6.715720221606655,6.453213443396231,6.216789819376035,6.278947368421052,0.0,1.0,2.0,1.0
86,18000000,Producers Sales Organization (PSO),USA,Hal Ashby,Action,1305114,8 Million Ways to Die,R,6/27/86,115,5.7,Jeff Bridges,3607,Lawrence Block,1986,0.0,0.0,6.728571428571428,5.7,5.733333333333333,6.1060856498873015,6.453213443396231,6.216789819376035,5.800000000000001,0.0,1.0,1.0,0.0
